CustomerID,Age,Gender,City,TenureMonths,TotalPurchases,AveragePurchaseValue,TotalSpend,MonthlySpend,SessionsPerMonth,AvgSessionDurationMinutes,PagesViewedPerSession,SupportTickets,DeviceUsed,HasPremiumMembership,LastInteractionDaysAgo,Churn
ce743892-17ee-4549-9b74-d5a735e80946,57,Male,North Erinfort,6,8,164.03,1435.03,239.17,8,15.2,13,1,Mobile,0,122,1
5242176a-f013-4db0-ba7f-9acfa0c99811,51,Female,Donnabury,23,23,236.72,4845.66,210.68,29,17.2,20,5,Tablet,1,90,0
2b575902-975d-4cf6-a620-2cbb54d22360,49,Female,Nathanshire,13,23,208.06,4880.59,375.43,11,11.2,6,2,Mobile,0,151,0
27ad8adb-d1f0-4ee3-b27b-4e5201a1e723,65,Female,West Emily,31,20,158.03,2749.56,88.7,11,40,16,0,Desktop,1,64,0
13bc1446-4547-4608-9514-3febda897aec,26,Female,New Gerald,32,11,244.48,2416.89,75.53,17,55.1,11,2,Tablet,0,168,0
c3fb69a3-c3aa-4f0c-94a4-bfce3af5a819,46,Female,Tammyburgh,12,12,134.97,1788.28,149.02,20,58,20,0,Desktop,0,76,0
c73667cf-9743-4b07-a893-80a89150f2cd,69,Male,Stoutside,32,47,228.49,12360.77,386.27,7,14.1,15,0,Tablet,0,139,0
4cd2cb9e-8a66-44c6-be27-6aaa1198fbeb,23,Male,Scotthaven,13,16,221.26,3667.84,282.14,9,55.5,21,5,Tablet,1,164,1
be423842-51a3-4c7f-94ae-6cf6b84752f1,64,Male,Bakerport,15,25,229.83,5797.38,386.49,16,34.1,24,2,Desktop,1,1,0
6d519c38-5b1f-4ba3-a19d-1d265b985466,70,Male,Port Chris,2,2,199.97,357.97,178.99,27,9.7,7,3,Mobile,1,69,0
40cc09de-482e-4ccd-b93f-4789876f0014,26,Male,Coreyfurt,35,49,174.49,9581.59,273.76,26,41.1,5,0,Desktop,0,2,0
382e8b86-e2af-49e1-bfce-1d287b3ff6fc,20,Male,Port Jeffreyview,26,5,206.37,868.31,33.4,3,58.5,7,4,Mobile,1,41,0
1e5726bc-d0fd-44fa-890e-8537e07d16fb,39,Male,South Caleb,22,29,284.98,7374.28,335.19,20,43.1,22,5,Tablet,1,31,0
c0657f13-cd8a-4178-8356-965d86a04bbe,21,Female,Dyerville,23,13,208.34,2905.22,126.31,24,47.3,3,3,Tablet,0,153,0
0678fe94-4399-4838-855a-ead1f1c52036,51,Female,East Michael,17,21,97.86,2186.5,128.62,1,22.7,3,5,Tablet,1,144,1
91e0c9bf-7da9-4716-b744-91fd0eeb9ded,67,Male,West Veronicastad,8,13,79.42,853.29,106.66,20,53.7,11,3,Mobile,0,149,1
8e961ab5-de4b-45da-8cef-fbcb4f72814d,46,Male,Port Michael,34,51,240.84,12337.81,362.88,18,51.9,1,2,Desktop,1,119,1
34314f35-2035-45fc-8bb4-24ab177e0e60,20,Male,North Scotttown,22,21,37.87,637.99,29,20,40.6,21,2,Tablet,1,179,0
5e08942d-be9c-4655-a9c6-c854accd774d,44,Male,Janeton,23,9,69.8,529.78,23.03,26,31,7,1,Desktop,0,41,0
2495ef3a-784f-4202-9ce6-8812fc6b8b4d,22,Female,Mcdonaldland,21,5,80.33,348.85,16.61,25,21.2,10,2,Mobile,1,164,1
bab90d43-ab38-4624-ad90-90551da8d5c6,28,Female,Port Seanberg,30,24,64.44,1567.45,52.25,11,59.5,25,4,Mobile,1,32,0
73e49fff-e5a4-4c6d-a6ee-dcc08eea5120,35,Female,Russellside,30,54,121.89,7245.34,241.51,22,9.8,16,5,Tablet,0,86,1
0ebbcabe-1b97-44b1-a1ff-a13ec8c0505a,37,Male,Lake Richardstad,13,20,48.07,947.88,72.91,18,13.2,10,2,Mobile,0,4,0
3d6841f6-31aa-4fa3-95fa-d4f6e7088b3e,67,Female,Jacktown,2,1,186.35,172.92,86.46,19,24.5,18,1,Mobile,0,112,1
3a71e1c5-f9f9-421e-af33-b87c6144e8f4,45,Male,New Kristiburgh,9,5,218.77,1094.19,121.58,12,13.9,14,2,Desktop,0,73,0
ea348503-cfe4-40d5-badb-5c9e8d113321,24,Female,East Rebeccabury,8,4,271.13,1079.5,134.94,2,38.6,7,2,Desktop,0,29,0
cb488f9c-b175-4587-bfc2-fb872eadcb18,59,Female,Davidborough,19,32,88.9,3256.03,171.37,8,39,24,3,Tablet,0,177,1
aff2ac78-57b2-4f6b-9230-99f3d84c2ac3,49,Male,New Tracy,6,4,211.05,753.44,125.57,4,42.7,4,5,Mobile,1,85,0
989c937c-0203-4d82-b82d-7ee98f0a7a0c,31,Male,North Stacytown,36,71,250.63,17842.6,495.63,1,36.1,4,4,Mobile,0,23,0
c8784805-e027-4e38-9f7e-92d7aa001f9e,45,Male,Lake Brandy,35,69,39.78,2415.13,69,14,41.3,15,0,Tablet,0,69,0
fc0d9b1e-c9ae-44fb-836f-44340084cecd,27,Male,South Nancy,29,38,127.04,5050.94,174.17,29,53.7,22,3,Mobile,0,4,0
b2464e8d-ef57-4f7b-b912-58203cf67192,56,Male,North Robert,25,48,272.93,13799.65,551.99,21,4.4,23,4,Mobile,0,62,1
54115f8e-f1cd-4233-a459-a0cdc615737d,46,Male,Lake Samanthaburgh,4,2,65.15,137.22,34.3,18,47.9,14,5,Mobile,1,81,0
51070707-3e0c-476c-9a62-cf55e1a84cd2,48,Female,South Joseph,21,2,275.29,476.72,22.7,25,54,11,0,Mobile,0,4,0
e4ea1c7c-6ab1-4cc7-8391-abf06cdbeafc,39,Female,Port Jeffreymouth,13,12,41.02,420.09,32.31,26,6.4,16,4,Mobile,0,171,1
6a3cbf38-a4c9-48ad-8dc7-4731882b6088,48,Male,Roberthaven,32,41,157.71,6195.15,193.6,1,10.3,24,1,Mobile,0,153,0
8a900929-efae-4708-b569-737bb965b4e4,41,Male,Owentown,13,22,130.85,2746.55,211.27,18,14.6,2,0,Tablet,0,169,0
fa6f162e-eeb3-48ae-b3aa-c22b64b70f42,53,Male,Larsenshire,7,6,195.02,1011.36,144.48,13,14.1,13,3,Tablet,1,34,0
1372e217-d65a-4101-b70d-f22fc9fa3450,34,Male,North George,19,4,101.97,354.36,18.65,13,31.5,11,5,Tablet,1,178,0
8c21e637-7035-4665-8f30-4653f1d811d9,41,Male,Tuckermouth,21,7,178.24,1483.54,70.64,10,3.9,4,0,Desktop,1,26,0
7dc605f2-fafd-476f-b4c1-12a2efb569c8,59,Male,Meyerstad,20,36,264.32,8870.2,443.51,19,37.1,21,0,Desktop,0,165,1
7aba7237-7258-4132-ad5b-e752ae55df6d,54,Female,Victoriaton,18,4,259.36,834.1,46.34,2,40.3,15,1,Tablet,1,135,1
ff56a046-ab67-4855-ae58-bce5ceac0a07,68,Male,East Melissa,25,35,233.67,9783.94,391.36,10,10.7,20,2,Tablet,1,10,0
fb1189b0-0561-4ad1-8422-0becde1ebec7,68,Male,Williamsmouth,14,26,144.64,3683.37,263.1,12,14.1,23,5,Tablet,0,128,0
b2ad2b1f-da79-4f9e-a209-d32b37b8b664,56,Male,Jessicaberg,35,18,211.1,3500.73,100.02,4,5.3,15,5,Tablet,0,17,1
5c8deb6b-2358-42e4-93c2-69ac77d84354,37,Female,North Joanmouth,24,23,105.95,2470.55,102.94,8,19.2,22,2,Desktop,0,33,0
faf5ed7c-1089-4cc2-9ae7-d2c4938f3058,54,Female,East Joel,1,1,198.71,235.74,235.74,12,20.9,17,5,Mobile,1,36,1
0b928788-280c-4458-8e4f-6f01b0fabb97,36,Female,Davidhaven,14,27,121.5,2661.93,190.14,21,10.5,6,4,Tablet,0,8,0
736df536-0870-4872-ad1a-b302d1e69cf5,53,Female,West Cathy,6,5,67.9,320.73,53.46,17,17.7,2,5,Desktop,1,135,1
c697d773-dbb1-4781-9e7c-69e2a493b9b7,40,Female,South Michelle,7,1,128.4,152.47,21.78,6,16.7,12,5,Tablet,1,138,1
4125c637-eda2-4344-8b3a-9dea781204cc,38,Female,Lanebury,29,2,297.45,585.86,20.2,30,7.3,14,4,Mobile,0,172,0
be5d0f97-3fd9-4cf5-9df0-f234a46a260f,43,Female,Port Melissa,33,27,253.26,6954.54,210.74,29,23.3,24,1,Tablet,0,103,0
5c0a7574-ca6c-4e6f-8a9b-27a7baf868bd,68,Male,North Thomas,15,10,244.89,2325.39,155.03,29,34.5,9,1,Mobile,1,53,0
ab6102e5-e52c-42d0-a3fa-18e8a2602570,53,Female,Michaelland,24,31,149.55,4347.51,181.15,14,17.4,16,2,Mobile,0,180,0
b6b720d0-3e87-4939-833a-5a70ea089470,21,Male,Omarside,19,38,117.21,5245.75,276.09,1,52.9,22,1,Desktop,1,167,0
9b107965-6b6e-460d-a7e5-45ef5b6add55,41,Male,South Nataliehaven,17,30,134.22,3435.68,202.1,16,43.4,17,1,Tablet,0,104,1
4cdc6281-8af2-4c34-83ae-b6ac804cdcc7,40,Male,Port Christopherchester,3,2,249.83,411.36,137.12,5,26.1,24,5,Tablet,1,151,1
0e0da389-251e-40d5-a538-4d491ea62736,23,Female,North Nicoleside,2,2,55.39,90.67,45.34,26,2.3,8,2,Mobile,0,90,0
2ae0625a-2b3e-4fb5-b729-01db84743505,38,Male,Mayside,11,5,278.88,1212.17,110.2,28,12.3,9,4,Mobile,1,148,0
941733de-3b6e-436f-b332-7f2b10a5b6ea,31,Male,Clarkport,12,9,271.99,2819.63,234.97,5,59.6,17,3,Mobile,1,50,0
5314f200-ddd6-44e0-a579-8d13e97be831,66,Female,Lake Kristintown,9,13,102.12,1352.46,150.27,17,38,11,4,Tablet,1,131,0
61004ad1-0efe-483e-ac18-dd6d14737952,35,Male,Kevinport,26,44,285.23,12486.26,480.24,23,31.5,20,4,Desktop,0,12,0
c01c4a57-fbe5-4dbd-9c31-021fd128cf37,21,Female,Deniseport,18,22,156.66,3451.95,191.77,4,24.4,4,2,Desktop,0,138,0
246c33c8-af33-4c9e-8748-228fc8051ae5,20,Male,West Stacy,30,55,165.03,7906.14,263.54,17,11.1,10,0,Desktop,1,10,0
4ad5162c-976a-4723-89a5-7f6ed0085e3b,53,Female,New Cheryl,22,38,190.87,6231.26,283.24,6,29.4,24,0,Desktop,1,168,0
8a974625-e736-4089-87e3-e9c11fef4b06,25,Female,West Don,31,8,54.17,447.86,14.45,26,56.7,17,2,Desktop,0,158,0
d9960496-954e-433b-aedf-d377003cd97d,30,Male,Port Sandyton,13,26,143.85,3967.24,305.17,4,16.7,20,5,Mobile,1,158,1
77afaff3-d4ca-40fe-a4b9-f0df5a79ddc3,32,Female,Grahamland,23,33,68.08,2131.03,92.65,26,38.5,7,2,Tablet,1,171,0
faa058ae-f82d-4e6f-916c-7dd811c127cb,27,Male,Juliemouth,34,40,107.8,3575.28,105.16,25,18.8,22,5,Desktop,1,62,0
4479f6ad-8815-4951-969e-dc38528bb4b5,38,Male,Kevinbury,24,6,72.37,433.03,18.04,14,11.4,25,0,Tablet,0,67,0
3726ef25-d383-4972-b296-d657c5e02764,62,Male,Fletcherchester,26,52,28.95,1226.12,47.16,2,36.1,2,5,Tablet,0,172,0
d479d097-af7a-443d-9905-90fa761474d7,48,Female,Dalefurt,30,22,240.96,6071.13,202.37,30,59.9,8,1,Mobile,0,155,0
d3b5cdb4-6602-4ae2-ba28-e3514e21b894,21,Female,South Vickie,23,9,133.25,1235.59,53.72,25,45.6,3,0,Mobile,1,113,0
5e6598fb-279f-4495-8002-99d14d16fac8,64,Female,Mezaview,29,58,145.94,7725.58,266.4,7,22.2,15,3,Tablet,0,56,0
97b272f6-e782-48e8-bc01-806da51dd14e,68,Male,East Jacobfurt,1,1,42.58,41.7,41.7,16,57.2,21,1,Mobile,1,88,0
e0f05eda-bc2d-4734-bad8-9a4a9501b84a,32,Male,Penningtonshire,15,25,235.34,6246.67,416.44,4,29.6,11,3,Desktop,0,147,0
c279e555-fd60-4ae0-b1e2-29d6c309eca1,44,Male,Crystalshire,9,3,113.35,293.91,32.66,7,58.4,24,0,Desktop,0,72,0
